dollars	$
us dollars	$
united states dollars	$
australian dollars	$
new zealand dollars	nzd
hong kong dollars	hk$
canadian dollars	cad
usd	$
pounds	£
cypriot pounds	cyp
saint helena pounds	shp
south sudanese pounds	ssp
rupees	rs
pakistani rupees	pkr
nepalese rupees	npr
seychelles rupees	scr
euros	€
wons	₩
swiss francs	chf
danish kroner	dkk
finnish markkas	fim
finnish markkaa	fim
arab emirates darahim	aed
czech korunas	czk
mauritanian ouguiyas	mro
costa rican colons	crc
aruban florins	awg
norwegian kroner	nok
tanzanian shillings	tzs
swedish kronor	sek
reals	r
reales	r
saudi riyals	sar
cape verde escudos	cve
serbian dinars	rsd
german marks	dm
philippine pesos	php
maldivian rufiyaas	mvr
yen	¥
